cnpj_basic;cnpj_ordem;cnpj_dv;identifica;nome_fanta;situacao_c;data_situa;motivo_sit;data_inici;cnae_fisca;cnae_fis_1;tipo_logra;logradouro;numero;bairro;cep;cidade;estado;complement;uf;codigo_mun;ddd_1;telefone_1;endereco;Latitude;Longitude
23422136;1;95;1;-;2;20230904;0;20151006;7729202;7729299,7732202,7729201,7739003;RUA;SEVERINO COUTINHO;125;PARQUE PRAZERES;28080135;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97777357;RUA, SEVERINO COUTINHO, 125, PARQUE PRAZERES;-21.747;-41.301
23433778;1;90;1;-;2;20151007;0;20151007;4520002;-;RUA;EXPEDICIONARIO WILSON RIBEIRO PECANHA;26;PARQUE PRAZERES;28080110;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98380706;RUA, EXPEDICIONARIO WILSON RIBEIRO PECANHA, 26, PARQUE PRAZERES;-21.746;-41.299
23448365;1;89;1;-;2;20151009;0;20151009;4520001;-;RUA;LIONS CLUB;121;PARQUE SAO CAETANO;28030385;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;96126696;RUA, LIONS CLUB, 121, PARQUE SAO CAETANO;-21.755;-41.343
23466413;1;61;1;-;2;20151014;0;20151014;7319002;4789005;RUA;JOSE RIBEIRO PEREIRA;38;PARQUE FUNDAO;28060280;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27313077;RUA, JOSE RIBEIRO PEREIRA, 38, PARQUE FUNDAO;-21.732;-41.332
23483364;1;75;1;-;2;20151016;0;20151016;4520003;4530703;AVENIDA;ALBERTO LAMEGO;1100;PARQUE CALIFORNIA;28013602;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27314331;AVENIDA, ALBERTO LAMEGO, 1100, PARQUE CALIFORNIA;-21.760;-41.309
23571013;1;16;1;MF SOLUCOES EM SAUDE;2;20151029;0;20151029;4645101;4773300,774;RUA;JOSE EVALDO CARNEIRO DA SILVA;13;CENTRO;28010520;Campos dos Goytacazes;Rio de Janeiro;LOJA 112;RJ;5819;21;76886128;RUA, JOSE EVALDO CARNEIRO DA SILVA, 13, CENTRO;-21.768;-41.320
23584512;1;48;1;-;2;20151103;0;20151103;5611203;-;RUA;OPERARIO VALDIR MANHAES;156;PARQUE NOVO MUNDO;28083490;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98687672;RUA, OPERARIO VALDIR MANHAES, 156, PARQUE NOVO MUNDO;-21.726;-41.312
23600365;1;52;1;PCP SOLUCOES TELECOM;2;20241028;0;20151104;4751201;9512600,9511800,6190699,4752100,4321500,4759899;RUA;HEMETERIO MARTINS;55;PARQUE VICENTE GONCALVES DIAS;28080305;Campos dos Goytacazes;Rio de Janeiro;CASA;RJ;5819;22;27237613;RUA, HEMETERIO MARTINS, 55, PARQUE VICENTE GONCALVES DIAS;-21.751;-41.321
23636945;1;8;1;GATA FASHION MODAS;2;20151110;0;20151110;4781400;4763601,4755503,4755502,4789001,4782201;AVENIDA;RUI BARBOSA;1101;CENTRO;28013000;Campos dos Goytacazes;Rio de Janeiro;SUBSL LOJA 35;RJ;5819;22;99356183;AVENIDA, RUI BARBOSA, 1101, CENTRO;-21.756;-41.322
45242914;246;24;2;C&A;2;20101103;0;20101103;4781400;4752100,4753900,4755501,4755502,4755503,4761001,4761003,4762800,4763601,4763602,4772500,4774100,4782201,4782202,4783101,4783102,4789001,4789008,6463800,7490104;AVENIDA;DOUTOR SILVIO BASTOS TAVARES;330;PARQUE LEOPOLDINA;28051250;Campos dos Goytacazes;Rio de Janeiro;LOJA 103 J;RJ;5819;11;21346434;AVENIDA, DOUTOR SILVIO BASTOS TAVARES, 330, PARQUE LEOPOLDINA;-21.755;-41.349
